action-information-functional-rate-and-adversarial-disturbance.pdf	theory-model;itpac;functional	current conceptual reference	see TeX source	Use as terminology reference.
coding-implementation-summary.md	validation	current implementation reference	robust_walker/; experiments/	Explains code structure and reproducibility.
report-catalog-and-migration-plan.md	validation	current planning document	all reports	Defines rubric and future folder structure.
future-work-and-open-problems.md	exploratory	current future-work document	latest experiment outputs	Records inconclusive push-pull, functional PI, and rate-theorem issues.
distributed-intelligence-sota-position.tex	theory-model	current theory reference	robust_walker/; experiments/18_history_estimator_audit.py; experiments/21_action_directed_information.py	Standalone SOTA/theory position; separates established theory, operational estimates, and conjectures.
distributed-intelligence-sota-position.pdf	theory-model	current theory reference	see TeX source	Compiled 22 September 2026; 7 pages.
action-directed-information-distributed-control-paper.tex	itpac;functional	current compact paper	robust_walker/; experiments/21_action_directed_information.py	ArXiv-style paper using corrected action data and current functional summary.
action-directed-information-distributed-control-paper.pdf	itpac;functional	current compact paper	see TeX source	Compiled 22 September 2026; expanded 11-page version.
di-walker-methodological-proposal-slide.pdf	theory-model;functional;itpac	current presentation asset	results/action_directed_information_corrected.csv	Large-font methodological proposal: action information, intervention, functional utility, robustness.
di-walker-methodological-proposal-slide.png	theory-model;functional;itpac	current presentation asset	see PDF	Raster version for slide insertion or screen capture.
di-walker-presentation-sheet.pdf	functional;itpac	current presentation asset	results/action_directed_information_corrected.csv	Presentation summary using corrected action results.
di-walker-push-pull-explanation-slide.pdf	functional;exploratory	current secondary presentation asset	results/adversarial_push_pull_summary.csv	Optional explanation of adversarial push-pull; not primary DI evidence.
results/four_architecture_cc_dropout_summary.csv	functional	current primary data	experiments/03_cc_dropout.py	Functional late path errors for active architectures.
results/action_directed_information_corrected.csv	itpac;validation	current primary data	experiments/21_action_directed_information.py	Corrected post-event indexing; use instead of uncorrected CSV.
results/adversarial_push_pull_summary.csv	functional;exploratory	current secondary data	experiments/26_adversarial_push_pull.py	3,456 frozen-policy push-pull rollouts.
results/paper_functional_robustness.png	functional	current paper figure	results/four_architecture_cc_dropout_summary.csv	Dedicated functional-results figure; excludes the push-pull plot.
experiments/31_plot_paper_functional_results.py	validation	current plotting utility	results/four_architecture_cc_dropout_summary.csv	Reproducibly generates the functional figure used by the compact paper.
experiments/32_plot_paper_monochrome_figures.py	validation	current plotting utility	results/four_architecture_cc_dropout_summary.csv; results/action_directed_information_corrected.csv; results/predictor_quantization_itpac.csv	Generates all grayscale paper figures, including the explicit CC/quantization system diagram.
results/paper_system_diagram_bw.png	theory-model	current paper figure	experiments/32_plot_paper_monochrome_figures.py	Monochrome causal ordering diagram with weak CC and quantized message.
results/paper_functional_robustness_bw.png	functional	current paper figure	experiments/32_plot_paper_monochrome_figures.py	Monochrome functional robustness results.
results/paper_action_gain_bw.png	itpac	current paper figure	experiments/32_plot_paper_monochrome_figures.py	Monochrome corrected action-directed gain.
results/paper_predictor_quantization_bw.png	itpac	current paper figure	experiments/32_plot_paper_monochrome_figures.py	Monochrome predictor-only quantization, shuffle advantage, and efficiency.
